address,type,price,details,url
"2513 N Lowell Ave #1, Chicago, IL 60639",SingleFamilyResidence,"$1,200/mo",2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/2513-N-Lowell-Ave-1-Chicago-IL-60639/2073226228_zpid/
"1569 Raymond Dr Apt 103, Naperville, IL 60563",SingleFamilyResidence,"$1,380/mo",2 bds1 ba888 sqft- Townhouse for rent,https://www.zillow.com/homedetails/1569-Raymond-Dr-APT-103-Naperville-IL-60563/72581239_zpid/
"3900 W Diversey Ave Apt 2r, Chicago, IL 60647",SingleFamilyResidence,"$1,300/mo",3 bds1 ba800 sqft- Apartment for rent,https://www.zillow.com/homedetails/3900-W-Diversey-Ave-APT-2R-Chicago-IL-60647/2088399607_zpid/
"1422 Stonebridge Cir, Wheaton, IL 60189",SingleFamilyResidence,"$1,395/mo",2 bds2 ba994 sqft- Apartment for rent,https://www.zillow.com/homedetails/1422-Stonebridge-Cir-Wheaton-IL-60189/4446980_zpid/
"3035 N Gresham Ave Apt 1f, Chicago, IL 60618",SingleFamilyResidence,"$1,350/mo",1 bd1 ba800 sqft- Apartment for rent,https://www.zillow.com/homedetails/3035-N-Gresham-Ave-APT-1F-Chicago-IL-60618/2085832552_zpid/
"3029 N Kimball Ave #1f, Chicago, IL 60618",SingleFamilyResidence,"$1,090/mo",1 bd1 ba800 sqft- Apartment for rent,https://www.zillow.com/homedetails/3029-N-Kimball-Ave-1F-Chicago-IL-60618/2089117794_zpid/
"3941 N Keeler / 3968 N Avondale (CENTRUM OLD IRVING) | 3941 N Keeler Ave, Chicago, IL", 2 bds,"$2,048+ 2 bds", 2 bds,https://www.zillow.com/homedetails/3941-N-Keeler-/-3968-N-Avondale-(CENTRUM-OLD-IRVING)---3941-N-Keeler-Ave-Chicago-IL
"4007 N Leamington Ave #3, Chicago, IL 60641",SingleFamilyResidence,"$1,700/mo","2 bds1 ba1,200 sqft- Apartment for rent",https://www.zillow.com/homedetails/4007-N-Leamington-Ave-3-Chicago-IL-60641/80829194_zpid/
"3936 N Narragansett Ave, Chicago, IL 60634",SingleFamilyResidence,"$1,450+/mo","1 bd1 ba1,100 sqft- Apartment for rent",https://www.zillow.com/homedetails/3936-N-Narragansett-Ave-Chicago-IL-60634/2078958030_zpid/
"250 Fairview Dr, St Charles, IL 60174",SingleFamilyResidence,"$2,150/mo","3 bds2 ba1,500 sqft- House for rent",https://www.zillow.com/homedetails/250-Fairview-Dr-St-Charles-IL-60174/4660952_zpid/
"2722-24 N Kimball/3407-09 W Parker | 2722 N Kimball Ave, Chicago, IL", 2 bds,"$1,850 2 bds", 2 bds,https://www.zillow.com/homedetails/2722-24-N-Kimball/3407-09-W-Parker---2722-N-Kimball-Ave-Chicago-IL
"1818 N Monitor Ave Floor 2, Chicago, IL 60639",SingleFamilyResidence,"$1,400/mo",2 bds2 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/1818-N-Monitor-Ave-FLOOR-2-Chicago-IL-60639/2073247632_zpid/
"225 S Rohlwing Rd, Palatine, IL", 1 bd,"$1,100+ 1 bd", 1 bd,https://www.zillow.com/homedetails/225-S-Rohlwing-Rd-Palatine-IL
"3209 N Central Ave #32092, Chicago, IL 60641",SingleFamilyResidence,"$1,100/mo",2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/3209-N-Central-Ave-32092-Chicago-IL-60641/2073248741_zpid/
"1709 N Troy St #1, Chicago, IL 60647",SingleFamilyResidence,"$1,600/mo","2 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/1709-N-Troy-St-1-Chicago-IL-60647/2079166653_zpid/
"3831 N Kilpatrick Ave #1, Chicago, IL 60641",SingleFamilyResidence,"$1,800/mo","2 bds1 ba1,200 sqft- Apartment for rent",https://www.zillow.com/homedetails/3831-N-Kilpatrick-Ave-1-Chicago-IL-60641/2073253840_zpid/
"4906-08 W Cornelia Ave #1f, Chicago, IL 60641",SingleFamilyResidence,"$1,650/mo",2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/4906-08-W-Cornelia-Ave-1F-Chicago-IL-60641/2073254225_zpid/
"3149 N Springfield Ave #d1, Chicago, IL 60618",SingleFamilyResidence,"$1,050/mo",#NAME?,https://www.zillow.com/homedetails/3149-N-Springfield-Ave-D1-Chicago-IL-60618/2073257591_zpid/
"3059 W Diversey Ave #3f, Chicago, IL 60647",SingleFamilyResidence,"$2,695/mo","2 bds2 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/3059-W-Diversey-Ave-3F-Chicago-IL-60647/2085751217_zpid/
"1458 N Elmhurst Rd Apt 203a, Mount Prospect, IL 60056",SingleFamilyResidence,"$1,600/mo","2 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/1458-N-Elmhurst-Rd-APT-203A-Mount-Prospect-IL-60056/3313804_zpid/
"3750 E New York St #921, Aurora, IL 60504",SingleFamilyResidence,"$1,810/mo","2 bds2 ba1,082 sqft- Apartment for rent",https://www.zillow.com/homedetails/3750-E-New-York-St-921-Aurora-IL-60504/2080076056_zpid/
"6244 W Diversey Ave #2, Chicago, IL 60639",SingleFamilyResidence,"$1,500/mo","3 bds1.5 ba1,100 sqft- Apartment for rent",https://www.zillow.com/homedetails/6244-W-Diversey-Ave-2-Chicago-IL-60639/2085747813_zpid/
"3047 N Kimball Ave Apt 2, Chicago, IL 60618",SingleFamilyResidence,"$2,650/mo","4 bds2 ba1,200 sqft- Apartment for rent",https://www.zillow.com/homedetails/3047-N-Kimball-Ave-APT-2-Chicago-IL-60618/2090694278_zpid/
"1016 N Humphrey Ave, Oak Park, IL 60302",SingleFamilyResidence,"$2,800/mo","4 bds2.5 ba2,250 sqft- House for rent",https://www.zillow.com/homedetails/1016-N-Humphrey-Ave-Oak-Park-IL-60302/3798285_zpid/
"935 South Blvd #107, Oak Park, IL 60302",SingleFamilyResidence,"$1,100/mo",1 bd1 ba600 sqft- Condo for rent,https://www.zillow.com/homedetails/935-South-Blvd-107-Oak-Park-IL-60302/2073334316_zpid/
"5488 W Addison St #2, Chicago, IL 60641",SingleFamilyResidence,"$1,575/mo","3 bds2 ba1,300 sqft- Apartment for rent",https://www.zillow.com/homedetails/5488-W-Addison-St-2-Chicago-IL-60641/2073340151_zpid/
"1431 N Springfield Ave #g, Chicago, IL 60651",SingleFamilyResidence,"$1,325/mo",2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/1431-N-Springfield-Ave-G-Chicago-IL-60651/2078500667_zpid/
"4655 W Monroe St #1e, Chicago, IL 60644",SingleFamilyResidence,"$1,250/mo",3 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/4655-W-Monroe-St-1E-Chicago-IL-60644/2073352332_zpid/
"5001 W North Ave #3, Chicago, IL 60639",SingleFamilyResidence,"$1,355/mo",3 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/5001-W-North-Ave-3-Chicago-IL-60639/2073352471_zpid/
"218-228 Pleasant St. & 134-140 S. Harvey Ave. | 218 Pleasant St, Oak Park, IL", 1 bd,"$1,139+ 1 bd", 1 bd,https://www.zillow.com/homedetails/218-228-Pleasant-St.-&-134-140-S.-Harvey-Ave.---218-Pleasant-St-Oak-Park-IL
"3196 N Milwaukee Ave #2f, Chicago, IL 60618",SingleFamilyResidence,"$1,595/mo",3 bds1 ba950 sqft- Apartment for rent,https://www.zillow.com/homedetails/3196-N-Milwaukee-Ave-2F-Chicago-IL-60618/2097848306_zpid/
"8153 Grand Ave Apt 2, River Grove, IL 60171",SingleFamilyResidence,$900/mo,1 bd1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/8153-Grand-Ave-APT-2-River-Grove-IL-60171/2100303798_zpid/
"1106 W Hawthorne St, Arlington Heights, IL 60005",SingleFamilyResidence,$950/mo,1 bd1 ba800 sqft- Apartment for rent,https://www.zillow.com/homedetails/1106-W-Hawthorne-St-Arlington-Heights-IL-60005/2073363931_zpid/
"4905 Belmont Rd #7, Downers Grove, IL 60515",SingleFamilyResidence,"$1,200/mo",1 bd1 ba870 sqft- Apartment for rent,https://www.zillow.com/homedetails/4905-Belmont-Rd-7-Downers-Grove-IL-60515/2073368242_zpid/
"2957 N. Avers Ave. | 2957 N Avers Ave, Chicago, IL", Studio,"$1,325 Studio", Studio,https://www.zillow.com/homedetails/2957-N.-Avers-Ave.---2957-N-Avers-Ave-Chicago-IL
"624 N Drake Ave Unit 2, Chicago, IL 60624",SingleFamilyResidence,"$1,500/mo","2 bds1 ba1,400 sqft- Apartment for rent",https://www.zillow.com/homedetails/624-N-Drake-Ave-UNIT-2-Chicago-IL-60624/2073378523_zpid/
"2338 N Lawndale Ave #2, Chicago, IL 60647",SingleFamilyResidence,"$1,850/mo","3 bds1 ba1,450 sqft- Apartment for rent",https://www.zillow.com/homedetails/2338-N-Lawndale-Ave-2-Chicago-IL-60647/2096013941_zpid/
"3544 W Cortland St, Chicago, IL 60647",SingleFamilyResidence,"$1,500/mo",2 bds1 ba700 sqft- Apartment for rent,https://www.zillow.com/homedetails/3544-W-Cortland-St-Chicago-IL-60647/54533053_zpid/
"102-04 Washington Blvd./ 339-41 S. Taylor Ave. | 102 Washington Blvd, Oak Park, IL", 2 bds,"$1,495+ 2 bds", 2 bds,https://www.zillow.com/homedetails/102-04-Washington-Blvd./-339-41-S.-Taylor-Ave.---102-Washington-Blvd-Oak-Park-IL
"5546 W Jackson Blvd #1, Chicago, IL 60644",SingleFamilyResidence,"$1,425/mo","3 bds1 ba1,300 sqft- Apartment for rent",https://www.zillow.com/homedetails/5546-W-Jackson-Blvd-1-Chicago-IL-60644/2073395867_zpid/
"3300 W Warren Blvd #2f, Chicago, IL 60624",SingleFamilyResidence,"$1,650/mo",2 bds1 ba800 sqft- Apartment for rent,https://www.zillow.com/homedetails/3300-W-Warren-Blvd-2F-Chicago-IL-60624/2073395892_zpid/
"5011 W Quincy St #2w, Chicago, IL 60644",SingleFamilyResidence,"$1,349/mo","3 bds2 ba1,400 sqft- Apartment for rent",https://www.zillow.com/homedetails/5011-W-Quincy-St-2W-Chicago-IL-60644/2078365590_zpid/
"5052 W Wellington Ave #g, Chicago, IL 60641",SingleFamilyResidence,"$1,399/mo",2 bds1 ba800 sqft- Condo for rent,https://www.zillow.com/homedetails/5052-W-Wellington-Ave-G-Chicago-IL-60641/2073399177_zpid/
"3452 N Avers Ave #2r, Chicago, IL 60618",SingleFamilyResidence,"$1,450/mo",2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/3452-N-Avers-Ave-2R-Chicago-IL-60618/2080798722_zpid/
"2608 N Saint Louis Ave, Chicago, IL 60647",SingleFamilyResidence,"$1,250/mo",1 bd1 ba750 sqft- Apartment for rent,https://www.zillow.com/homedetails/2608-N-Saint-Louis-Ave-Chicago-IL-60647/2073403090_zpid/
"2419 N Kimball Ave, Chicago, IL 60647",SingleFamilyResidence,"$1,100/mo",1 bd1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/2419-N-Kimball-Ave-Chicago-IL-60647/2073403396_zpid/
"2554 N Kedzie Blvd #2, Chicago, IL 60647",SingleFamilyResidence,"$2,500/mo","3 bds1 ba1,450 sqft- Apartment for rent",https://www.zillow.com/homedetails/2554-N-Kedzie-Blvd-2-Chicago-IL-60647/2106848585_zpid/
"442 Crescent Blvd #c4, Glen Ellyn, IL 60137",SingleFamilyResidence,"$1,200/mo","2 bds1 ba1,050 sqft- Apartment for rent",https://www.zillow.com/homedetails/442-Crescent-Blvd-C4-Glen-Ellyn-IL-60137/2073404956_zpid/
"801 E Miner St, Arlington Heights, IL", 1 bd,"$1,250+ 1 bd", 1 bd,https://www.zillow.com/homedetails/801-E-Miner-St-Arlington-Heights-IL
"2733 N Hamlin Ave #g, Chicago, IL 60647",SingleFamilyResidence,"$1,250/mo",2 bds1 ba700 sqft- Apartment for rent,https://www.zillow.com/homedetails/2733-N-Hamlin-Ave-G-Chicago-IL-60647/2073410534_zpid/
"6559 W George St Unit 309, Chicago, IL 60634",SingleFamilyResidence,"$1,600/mo","2 bds2 ba1,187 sqft- Apartment for rent",https://www.zillow.com/homedetails/6559-W-George-St-UNIT-309-Chicago-IL-60634/87716705_zpid/
"3804 Liberty Blvd, Westmont, IL 60559",SingleFamilyResidence,"$2,225/mo","3 bds2 ba1,610 sqft- House for rent",https://www.zillow.com/homedetails/3804-Liberty-Blvd-Westmont-IL-60559/4497849_zpid/
"910 W Euclid Ave Apt 103, Arlington Heights, IL 60005",SingleFamilyResidence,$960/mo,1 bd1 ba625 sqft- Apartment for rent,https://www.zillow.com/homedetails/910-W-Euclid-Ave-APT-103-Arlington-Heights-IL-60005/2094683740_zpid/
"400-12 S. Scoville | 400-12 S Scoville Ave, Oak Park, IL", 1 bd,"$1,095+ 1 bd", 1 bd,https://www.zillow.com/homedetails/400-12-S.-Scoville---400-12-S-Scoville-Ave-Oak-Park-IL
"4027 N Kilbourn Ave #2r, Chicago, IL 60641",SingleFamilyResidence,"$1,100/mo",1 bd1 ba700 sqft- Apartment for rent,https://www.zillow.com/homedetails/4027-N-Kilbourn-Ave-2R-Chicago-IL-60641/2073435580_zpid/
"4250 N Keystone Ave #2s, Chicago, IL 60641",SingleFamilyResidence,"$1,850/mo","2 bds1 ba1,100 sqft- Apartment for rent",https://www.zillow.com/homedetails/4250-N-Keystone-Ave-2S-Chicago-IL-60641/54532609_zpid/
"4032 N Central Ave #2r, Chicago, IL 60634",SingleFamilyResidence,"$1,300/mo","2 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/4032-N-Central-Ave-2R-Chicago-IL-60634/2073521705_zpid/
"The Township @ St.Charles Apartment Homes | 201 N Tyler Rd, Saint Charles, IL", 2 bds,"$1,765+ 2 bds", 2 bds,https://www.zillow.com/homedetails/The-Township-@-St.Charles-Apartment-Homes---201-N-Tyler-Rd-Saint-Charles-IL
"434 N Ardmore Ave, Villa Park, IL 60181",SingleFamilyResidence,"$1,250/mo",2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/434-N-Ardmore-Ave-Villa-Park-IL-60181/2073523862_zpid/
"5317 W Newport Ave #2, Chicago, IL 60641",SingleFamilyResidence,"$1,395/mo",2 bds1 ba900 sqft- Apartment for rent,https://www.zillow.com/homedetails/5317-W-Newport-Ave-2-Chicago-IL-60641/2073524867_zpid/
"1949 N Monticello Ave #1, Chicago, IL 60647",SingleFamilyResidence,"$1,600/mo",2 bds2 ba900 sqft- Apartment for rent,https://www.zillow.com/homedetails/1949-N-Monticello-Ave-1-Chicago-IL-60647/113955201_zpid/
"5654 W North Ave Unit 2s, Chicago, IL 60639",SingleFamilyResidence,"$1,250/mo","1 bd1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/5654-W-North-Ave-UNIT-2S-Chicago-IL-60639/2073529455_zpid/
"25 Hunt Club Dr #25, St Charles, IL 60174",SingleFamilyResidence,"$1,650/mo","2 bds2 ba1,190 sqft- Condo for rent",https://www.zillow.com/homedetails/25-Hunt-Club-Dr-25-St-Charles-IL-60174/2083562513_zpid/
"2434 N Albany Ave, Chicago, IL 60647",SingleFamilyResidence,"$2,295/mo",2 bds1 ba-- sqft- Townhouse for rent,https://www.zillow.com/homedetails/2434-N-Albany-Ave-Chicago-IL-60647/2098903042_zpid/
"1505 E Central Rd, Arlington Heights, IL", 2 bds,"$1,600+ 2 bds", 2 bds,https://www.zillow.com/homedetails/1505-E-Central-Rd-Arlington-Heights-IL
"702 N River St, Batavia, IL 60510",SingleFamilyResidence,"$1,570/mo","2 bds1 ba1,100 sqft- Condo for rent",https://www.zillow.com/homedetails/702-N-River-St-Batavia-IL-60510/2105770863_zpid/
"4201 W Hirsch St #3, Chicago, IL 60651",SingleFamilyResidence,"$1,375/mo","3 bds1 ba1,275 sqft- Apartment for rent",https://www.zillow.com/homedetails/4201-W-Hirsch-St-3-Chicago-IL-60651/2086503228_zpid/
"1440 N Arlington Heights Rd #1n, Arlington Heights, IL 60004",SingleFamilyResidence,"$1,325/mo","2 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/1440-N-Arlington-Heights-Rd-1N-Arlington-Heights-IL-60004/2073545531_zpid/
"3134 N Kedzie Ave Apt 1s, Chicago, IL 60618",SingleFamilyResidence,"$3,230/mo","5 bds3 ba2,400 sqft- Apartment for rent",https://www.zillow.com/homedetails/3134-N-Kedzie-Ave-APT-1S-Chicago-IL-60618/2081784879_zpid/
"(Undisclosed Address), Oak Park, IL 60301",SingleFamilyResidence,"$1,310/mo",1 bd1 ba670 sqft- Apartment for rent,https://www.zillow.com/homedetails/Oak-Park-IL-60301/2107687936_zpid/
"430 S Highland Ave, Lombard, IL 60148",SingleFamilyResidence,"$3,600/mo","4 bds3 ba1,900 sqft- House for rent",https://www.zillow.com/homedetails/430-S-Highland-Ave-Lombard-IL-60148/4473644_zpid/
"1040 N Central Ave Unit 1, Chicago, IL 60651",SingleFamilyResidence,"$1,450/mo",3 bds1 ba850 sqft- Apartment for rent,https://www.zillow.com/homedetails/1040-N-Central-Ave-UNIT-1-Chicago-IL-60651/2073553086_zpid/
"1904 N Drake Ave #2a, Chicago, IL 60647",SingleFamilyResidence,"$1,275/mo","2 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/1904-N-Drake-Ave-2A-Chicago-IL-60647/49679157_zpid/
"2021 N Albany Ave, Chicago, IL", 2 bds,"$1,600+ 2 bds", 2 bds,https://www.zillow.com/homedetails/2021-N-Albany-Ave-Chicago-IL
"1821 N Keeler Ave #2, Chicago, IL 60639",SingleFamilyResidence,"$1,900/mo","3 bds1 ba1,000 sqft- Condo for rent",https://www.zillow.com/homedetails/1821-N-Keeler-Ave-2-Chicago-IL-60639/2073554007_zpid/
"1004 W Superior St, Oak Park, IL 60302",SingleFamilyResidence,"$1,800/mo","2 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/1004-W-Superior-St-Oak-Park-IL-60302/2073556704_zpid/
"3224 W North Ave #1, Chicago, IL 60647",SingleFamilyResidence,"$1,695/mo","1 bd1 ba1,100 sqft- Apartment for rent",https://www.zillow.com/homedetails/3224-W-North-Ave-1-Chicago-IL-60647/2073561664_zpid/
"4220 W Thomas St #2, Chicago, IL 60651",SingleFamilyResidence,"$1,500/mo",2 bds1 ba800 sqft- Apartment for rent,https://www.zillow.com/homedetails/4220-W-Thomas-St-2-Chicago-IL-60651/2073570448_zpid/
"2813 Henley Ln, Naperville, IL 60540",SingleFamilyResidence,"$2,400/mo","2 bds2.5 ba1,783 sqft- Townhouse for rent",https://www.zillow.com/homedetails/2813-Henley-Ln-Naperville-IL-60540/171909615_zpid/
"2834 N Troy St Floor 3, Chicago, IL 60618",SingleFamilyResidence,"$2,200/mo","3 bds1 ba1,300 sqft- Apartment for rent",https://www.zillow.com/homedetails/2834-N-Troy-St-FLOOR-3-Chicago-IL-60618/2073578549_zpid/
"1105 S Forums Ct Apt 2a, Wheeling, IL 60090",SingleFamilyResidence,"$1,250/mo",2 bds1 ba950 sqft- Apartment for rent,https://www.zillow.com/homedetails/1105-S-Forums-Ct-APT-2A-Wheeling-IL-60090/2073578980_zpid/
"2007 N Lamon Ave #1, Chicago, IL 60639",SingleFamilyResidence,"$1,245/mo","2 bds1 ba1,050 sqft- Apartment for rent",https://www.zillow.com/homedetails/2007-N-Lamon-Ave-1-Chicago-IL-60639/2084836808_zpid/
"3057 N Troy St #g, Chicago, IL 60618",SingleFamilyResidence,"$1,695/mo","2 bds1 ba1,275 sqft- Apartment for rent",https://www.zillow.com/homedetails/3057-N-Troy-St-G-Chicago-IL-60618/2079992746_zpid/
"536 N Oak Park Ave #2, Oak Park, IL 60302",SingleFamilyResidence,"$3,300/mo",3 bds2 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/536-N-Oak-Park-Ave-2-Oak-Park-IL-60302/2131949689_zpid/
"719 N Homan Ave Floor 2, Chicago, IL 60624",SingleFamilyResidence,"$1,750/mo","3 bds1 ba1,960 sqft- Apartment for rent",https://www.zillow.com/homedetails/719-N-Homan-Ave-FLOOR-2-Chicago-IL-60624/2073585732_zpid/
"8218 Grand Ave #1, River Grove, IL 60171",SingleFamilyResidence,"$1,200/mo",2 bds1 ba900 sqft- Apartment for rent,https://www.zillow.com/homedetails/8218-Grand-Ave-1-River-Grove-IL-60171/2076823512_zpid/
"315 N School St, Mount Prospect, IL 60056",SingleFamilyResidence,"$2,050/mo",2 bds1 ba950 sqft- House for rent,https://www.zillow.com/homedetails/315-N-School-St-Mount-Prospect-IL-60056/3327213_zpid/
"1349 N Springfield Ave #1, Chicago, IL 60651",SingleFamilyResidence,"$1,350/mo",3 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/1349-N-Springfield-Ave-1-Chicago-IL-60651/2092840097_zpid/
"3324 N Springfield Ave #2, Chicago, IL 60618",SingleFamilyResidence,"$1,600/mo","3 bds1 ba1,400 sqft- Apartment for rent",https://www.zillow.com/homedetails/3324-N-Springfield-Ave-2-Chicago-IL-60618/2096125093_zpid/
"2940 N Kostner Ave #2, Chicago, IL 60641",SingleFamilyResidence,"$1,600/mo","3 bds2 ba1,100 sqft- Apartment for rent",https://www.zillow.com/homedetails/2940-N-Kostner-Ave-2-Chicago-IL-60641/2080398967_zpid/
"5501 W Wilson Ave, Chicago, IL 60630",SingleFamilyResidence,"$1,700/mo",3 bds2 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/5501-W-Wilson-Ave-Chicago-IL-60630/2092560412_zpid/
"211 N Kilbourn Ave #1, Chicago, IL 60624",SingleFamilyResidence,"$1,400+/mo","4 bds1 ba1,250 sqft- Apartment for rent",https://www.zillow.com/homedetails/211-N-Kilbourn-Ave-1-Chicago-IL-60624/2073622636_zpid/
"203 S Lombard Ave #c, Oak Park, IL 60302",SingleFamilyResidence,"$1,200/mo",1 bd1 ba650 sqft- Apartment for rent,https://www.zillow.com/homedetails/203-S-Lombard-Ave-C-Oak-Park-IL-60302/2073628908_zpid/
"Arbors of Brookdale | 1373 Ivy Ln, Naperville, IL", 2 bds,"$1,660+ 2 bds", 2 bds,https://www.zillow.com/homedetails/Arbors-of-Brookdale---1373-Ivy-Ln-Naperville-IL
"1714 N Spaulding Ave | 1714 N Spaulding Ave, Chicago, IL", 2 bds,"$1,600+ 2 bds", 2 bds,https://www.zillow.com/homedetails/1714-N-Spaulding-Ave---1714-N-Spaulding-Ave-Chicago-IL
"3410 W Potomac Ave #3, Chicago, IL 60651",SingleFamilyResidence,"$1,300/mo",2 bds1 ba980 sqft- Apartment for rent,https://www.zillow.com/homedetails/3410-W-Potomac-Ave-3-Chicago-IL-60651/2092447408_zpid/
"5200 W Roscoe St #1m, Chicago, IL 60641",SingleFamilyResidence,"$1,175/mo",1 bd1 ba643 sqft- Apartment for rent,https://www.zillow.com/homedetails/5200-W-Roscoe-St-1M-Chicago-IL-60641/2076814808_zpid/
"3604 W Roscoe St Unit 1r, Chicago, IL 60618",SingleFamilyResidence,"$1,395/mo",2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/3604-W-Roscoe-St-UNIT-1R-Chicago-IL-60618/2076735354_zpid/
"315 N Prospect Manor Ave, Mount Prospect, IL 60056",SingleFamilyResidence,"$2,500/mo","3 bds2 ba1,200 sqft- House for rent",https://www.zillow.com/homedetails/315-N-Prospect-Manor-Ave-Mount-Prospect-IL-60056/3326359_zpid/
"6546 W Cornelia Ave, Chicago, IL 60634",SingleFamilyResidence,"$1,050/mo",2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/6546-W-Cornelia-Ave-Chicago-IL-60634/2073663367_zpid/
"5124 W Oakdale Ave #1b, Chicago, IL 60641",SingleFamilyResidence,"$1,300/mo","3 bds1 ba1,100 sqft- Apartment for rent",https://www.zillow.com/homedetails/5124-W-Oakdale-Ave-1B-Chicago-IL-60641/2073664210_zpid/
"2621 N Emmett St Apt 2, Chicago, IL 60647",SingleFamilyResidence,"$1,950/mo","2 bds1 ba1,250 sqft- Apartment for rent",https://www.zillow.com/homedetails/2621-N-Emmett-St-APT-2-Chicago-IL-60647/2082361690_zpid/
"The Dickens Courtyard | 3631-41 W Dickens Ave, Chicago, IL", 1 bd,"$1,500 1 bd", 1 bd,https://www.zillow.com/homedetails/The-Dickens-Courtyard---3631-41-W-Dickens-Ave-Chicago-IL
"3316 W North Ave #southport1, Chicago, IL 60647",SingleFamilyResidence,$950+/mo,1 bd1 ba750 sqft- Apartment for rent,https://www.zillow.com/homedetails/3316-W-North-Ave-SOUTHPORT1-Chicago-IL-60647/2073685577_zpid/
"0n273 Peter Rd, Winfield, IL 60190",SingleFamilyResidence,"$2,000/mo","3 bds1.5 ba1,450 sqft- House for rent",https://www.zillow.com/homedetails/0N273-Peter-Rd-Winfield-IL-60190/4432576_zpid/
"10 S Dunton Ave Apt 606, Arlington Heights, IL 60005",SingleFamilyResidence,"$1,900/mo",1 bd1 ba836 sqft- Apartment for rent,https://www.zillow.com/homedetails/10-S-Dunton-Ave-APT-606-Arlington-Heights-IL-60005/89909415_zpid/
"2122 N Kimball Ave #g, Chicago, IL 60647",SingleFamilyResidence,"$1,500/mo",2 bds2 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/2122-N-Kimball-Ave-G-Chicago-IL-60647/2073702608_zpid/
"3641 N Kimball Ave #1, Chicago, IL 60618",SingleFamilyResidence,"$1,700/mo","3 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/3641-N-Kimball-Ave-1-Chicago-IL-60618/2080608981_zpid/
"4354 W Drummond Pl #4356-2, Chicago, IL 60639",SingleFamilyResidence,"$1,395/mo",2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/4354-W-Drummond-Pl-4356-2-Chicago-IL-60639/2091691571_zpid/
"Avenida Naperville Active Adult 62+ | 504 Commons Rd, Naperville, IL", 1 bd,"$1,950+ 1 bd", 1 bd,https://www.zillow.com/homedetails/Avenida-Naperville-Active-Adult-62+---504-Commons-Rd-Naperville-IL
"3746-50 W Irving Park | 3746 W Irving Park Rd, Chicago, IL", 1 bd,"$1,085+ 1 bd", 1 bd,https://www.zillow.com/homedetails/3746-50-W-Irving-Park---3746-W-Irving-Park-Rd-Chicago-IL
"7348 Lake St #g1, River Forest, IL 60305",SingleFamilyResidence,"$1,600/mo",2 bds1 ba756 sqft- Apartment for rent,https://www.zillow.com/homedetails/7348-Lake-St-G1-River-Forest-IL-60305/3760808_zpid/
"4726 Auvergne Ave, Lisle, IL 60532",SingleFamilyResidence,"$2,500/mo","2 bds2.5 ba1,804 sqft- Townhouse for rent",https://www.zillow.com/homedetails/4726-Auvergne-Ave-Lisle-IL-60532/171909396_zpid/
"460 Washington Blvd Apt 1n, Oak Park, IL 60302",SingleFamilyResidence,$995/mo,1 bd1 ba750 sqft- Apartment for rent,https://www.zillow.com/homedetails/460-Washington-Blvd-APT-1N-Oak-Park-IL-60302/2098925394_zpid/
"4838 W Hutchinson St Apt 203, Chicago, IL 60641",SingleFamilyResidence,"$1,325/mo",2 bds1 ba725 sqft- Apartment for rent,https://www.zillow.com/homedetails/4838-W-Hutchinson-St-APT-203-Chicago-IL-60641/2073845558_zpid/
"1326 S 14th St Apt C2, Saint Charles, IL 60174",SingleFamilyResidence,"$1,100/mo",2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/1326-S-14th-St-APT-C2-Saint-Charles-IL-60174/2102861398_zpid/
